Назва,Вид,Місто,Сайт,Пошта (Email)
"Тамара","Готель / Гостиниця","Україна","",""
"Вілла Немо","Готель / Гостиниця","Україна","",""
"Губернія","Готель / Гостиниця","Україна","",""
"Гостевой домик","Готель / Гостиниця","Україна","",""
"Зарінські","Готель / Гостиниця","Україна","",""
"Шале ТисаБуркут","Готель / Гостиниця","Україна","",""
"Крошечка","Готель / Гостиниця","Україна","",""
"Шашличний дворик","Готель / Гостиниця","Україна","",""
"Романия","Готель / Гостиниця","Україна","","reshetova_nata@mail.ru"
"Место на Десне 1","Готель / Гостиниця","Україна","",""
"Кордон Красный камень","Готель / Гостиниця","Україна","",""
"Затишна хатина","Готель / Гостиниця","Україна","",""
"Хостел Депо","Готель / Гостиниця","Україна","",""
"Білий Дім Карпат","Готель / Гостиниця","Україна","",""
"Карпатський теремок","Готель / Гостиниця","Україна","",""
"Садиба сім'ї Спаських","Готель / Гостиниця","Україна","",""
"Ветряк Гафон","Готель / Гостиниця","Україна","",""
"На  Садовой 16","Готель / Гостиниця","Україна","",""
"SunSet","Готель / Гостиниця","Україна","",""
"Лонгвина","Готель / Гостиниця","Україна","",""
"Пьяная камбала","Готель / Гостиниця","Україна","",""
"Челентано","Готель / Гостиниця","Україна","",""
"Mazanka ecocamping","Готель / Гостиниця","Україна","",""
"Капля","Готель / Гостиниця","Малореченское","",""
"На Виноградной 4","Готель / Гостиниця","Україна","",""
"Май","Готель / Гостиниця","Україна","",""
"Кучук-Узень","Готель / Гостиниця","Україна","",""
"На Морской 7","Готель / Гостиниця","Україна","",""
"Отдых у моря","Готель / Гостиниця","Україна","",""
"На Виноградной 2","Готель / Гостиниця","Україна","",""
"Морская звезда","Готель / Гостиниця","Україна","",""
"Марина","Готель / Гостиниця","Україна","",""
"На Парковой 16","Готель / Гостиниця","Україна","",""
"Инжир","Готель / Гостиниця","Україна","",""
"У Виталия","Готель / Гостиниця","Україна","",""
"Танюша","Готель / Гостиниця","Україна","",""
"У Надежды и Алексея","Готель / Гостиниця","Україна","","nadynya57@mail.ru"
"Регион 86","Готель / Гостиниця","Україна","",""
"Апарт отель Пушкинский","Готель / Гостиниця","Україна","",""
"Parus","Готель / Гостиниця","Україна","",""
"Don Gusto","Готель / Гостиниця","Україна","",""
"Бумеранг","Готель / Гостиниця","Україна","",""
"Гранд веранда","Готель / Гостиниця","Україна","",""
"Guest House on gorkogo","Готель / Гостиниця","Україна","",""
"Горького 29","Готель / Гостиниця","Україна","",""
"Царское село","Готель / Гостиниця","Україна","",""
"Ладья","Готель / Гостиниця","Україна","",""
"Лисичка","Готель / Гостиниця","Україна","",""
"Альтера","Готель / Гостиниця","Україна","","rezerv6568@mail.ru"
"Golden Beach","Готель / Гостиниця","Україна","",""
"Під зоряним небом","Готель / Гостиниця","Україна","",""
"Танкіст","Готель / Гостиниця","Україна","",""
"Курінь","Готель / Гостиниця","Україна","",""
"Сосновий двір","Готель / Гостиниця","Україна","",""
"Під Явором","Готель / Гостиниця","Україна","",""
"Говерлянка","Готель / Гостиниця","Україна","",""
"Сафие","Готель / Гостиниця","Україна","","abdulaeva.zure@mail.ru"
"Гостевой дом Azhur","Готель / Гостиниця","Україна","",""
"Гостевой дом на Равелинной","Готель / Гостиниця","Україна","",""
"Кобзар","Готель / Гостиниця","Україна","",""
"СкелеПарк","Готель / Гостиниця","Подгорное","",""
"У Дмитрия","Готель / Гостиниця","Україна","",""
"Міні-готель, Берегова 45","Готель / Гостиниця","Україна","",""
"CHÂTEAU DE MOUETTE","Готель / Гостиниця","Україна","",""
"Амазонка","Готель / Гостиниця","Україна","",""
"Коло друзів","Готель / Гостиниця","Україна","",""
"Барабулька","Готель / Гостиниця","Україна","",""
"Готель бар Софія","Готель / Гостиниця","Україна","",""
"Готель Гармонія","Готель / Гостиниця","Україна","",""
"Близнюки і світлофор","Готель / Гостиниця","Україна","",""
"Евпатрион бассейн","Готель / Гостиниця","Україна","",""
"Бон Вояж","Готель / Гостиниця","Україна","",""
"Дюльбер","Готель / Гостиниця","Україна","",""
"Ле Ди","Готель / Гостиниця","Україна","",""
"Валерия","Готель / Гостиниця","Україна","",""
"Аллегро","Готель / Гостиниця","Україна","",""
"Миру Мир","Готель / Гостиниця","Україна","",""
"Отель ""Марсоль""","Готель / Гостиниця","Україна","",""
"Aura","Готель / Гостиниця","Україна","",""
"Green Island","Готель / Гостиниця","Україна","",""
"Dilas","Готель / Гостиниця","Україна","",""
"Гостевой дом Дюльбер","Готель / Гостиниця","Україна","",""
"Гостевой дом Кунеш","Готель / Гостиниця","Україна","","bodjekalie@yandex.ru"
"Мини-отель Поляна","Готель / Гостиниця","Україна","",""
"Отель Аквапарк (aquapark)","Готель / Гостиниця","Україна","",""
"Калинка","Готель / Гостиниця","Україна","",""
"Котедж ""Блакитне озеро""","Готель / Гостиниця","Україна","",""
"Квітень","Готель / Гостиниця","Україна","",""
"Гостьовий дім ""У Микити""","Готель / Гостиниця","Україна","",""
"116 причал 2 елінг","Готель / Гостиниця","Україна","",""
"Камилла","Готель / Гостиниця","Україна","","kamilla-hotel@mail.ru"
"Альпийская долина","Готель / Гостиниця","Україна","",""
"ОСББ ""Вітрило""","Готель / Гостиниця","Україна","",""
"Усадьба баксан , банька ))","Готель / Гостиниця","Україна","",""
"Лисьи Сны","Готель / Гостиниця","Україна","",""
"Кінбурнська коса","Готель / Гостиниця","Україна","",""
"Апартаменты Валенсия 6","Готель / Гостиниця","Україна","",""
"На краю світу","Готель / Гостиниця","Україна","",""
"Дом Йоги","Готель / Гостиниця","Україна","","home@yogayalta.ru"
"Мансарда","Готель / Гостиниця","Україна","",""
"Сімейний котедж ""У Діани""","Готель / Гостиниця","Україна","",""
"Боброва Хата","Готель / Гостиниця","Україна","",""
"Отель-хостел Мплибу","Готель / Гостиниця","Україна","","hostel-malibu@mail.ru"
"Коттеджи Ольвия","Готель / Гостиниця","Україна","","olvia-olenevka@mail.ru"
"Империал","Готель / Гостиниця","Україна","","hotelfiolent@ya.ru"
"У Валентины","Готель / Гостиниця","Україна","","super.ya-sony@yandex.ru"
"Феникс","Готель / Гостиниця","Україна","","golovin.felix@yandex.ru"
"Наш дворик","Готель / Гостиниця","Україна","","prokudina.irina@bk.ru"
"У Одесита","Готель / Гостиниця","Україна","",""
"Донна Роза","Готель / Гостиниця","Україна","",""
"Villa","Готель / Гостиниця","Україна","",""
"Кінний двір ""Лелеки""","Готель / Гостиниця","Україна","",""
"Єврєйський городок","Готель / Гостиниця","Україна","",""
"Михайлівська","Готель / Гостиниця","Україна","",""
"IQ Hotel","Готель / Гостиниця","Україна","",""
"Park Inn","Готель / Гостиниця","Україна","",""
"Гостевой дом Дача","Готель / Гостиниця","Україна","",""
"Простые Вещи","Готель / Гостиниця","Україна","",""
"На Виноградной 24","Готель / Гостиниця","Україна","",""
"Польська Подушка на Франка","Готель / Гостиниця","Україна","",""
"Отель у моря 35 меридиан","Готель / Гостиниця","Україна","","35meridian@gmail.com"
"Imperial","Готель / Гостиниця","Україна","",""
"Ковбой, Конный клуб","Готель / Гостиниця","Україна","",""
"Лисянка","Готель / Гостиниця","Україна","",""
"Дитячий оздоровчий табір ""Трембіта""","Готель / Гостиниця","Україна","",""
"Променад","Готель / Гостиниця","Україна","",""
"Ясень","Готель / Гостиниця","Україна","",""
"Авалон","Готель / Гостиниця","Україна","",""
"«Уютное»","Готель / Гостиниця","Україна","","lilia_250875@mail.ru"
"Легенда карпат","Готель / Гостиниця","Україна","http://www.kosivart.com/index.cfm/fuseaction/rest.legenda-karpat/",""
"Сонячна садиба","Готель / Гостиниця","Україна","",""
"Apartments like hotel","Готель / Гостиниця","Україна","",""
"Домік в Сєдове","Готель / Гостиниця","Україна","","domikvsedovo@mail.ru"
"Дмитро","Готель / Гостиниця","Україна","","alexkm128@gmail.com"
"АНГ","Готель / Гостиниця","Україна","",""
"Гостьовий будинок ""Вест""","Готель / Гостиниця","Україна","",""
"RioRo","Готель / Гостиниця","Україна","",""
"Луцьк","Готель / Гостиниця","Україна","",""
"Усадьба мотель","Готель / Гостиниця","Україна","",""
"Дядя Саша","Готель / Гостиниця","Україна","",""
"Moramar","Готель / Гостиниця","Україна","",""
"Борей","Готель / Гостиниця","Україна","",""
"Вілла Жанна","Готель / Гостиниця","Україна","",""
"Рыбацкий Хутор","Готель / Гостиниця","Україна","",""
"Maximus hotel","Готель / Гостиниця","Україна","http://melodija.com.ua/hotel-paganini/",""
"Старий Кондрат","Готель / Гостиниця","Україна","",""
"Агросадиба «Острів Єпіків»","Готель / Гостиниця","Україна","https://rivne.travel/ua/residenced/14-agrosadiba-ostriv-pikiv--s-derajne-",""
"Вилла Русалочка","Готель / Гостиниця","Україна","",""
"Моника","Готель / Гостиниця","Україна","",""
"Сибирь","Готель / Гостиниця","Україна","","natasha.maksimkina@yandex.ru"
"Nar","Готель / Гостиниця","Україна","",""
"Сиеста","Готель / Гостиниця","Україна","",""
"Айсберг","Готель / Гостиниця","Україна","","s1dorova@mail.ru"
"Мини-отель ""Виноградный рай""","Готель / Гостиниця","Україна","","mirtrudmay505@mail.ru"
"На Садовой 14","Готель / Гостиниця","Україна","",""
"Мария","Готель / Гостиниця","Україна","","roma_mariya@bigmir.net"
"Тихий дворик","Готель / Гостиниця","Україна","","chelnokova_0104@mail.ru"
"На Виноградной 38","Готель / Гостиниця","Україна","","ersh-elena@mail.ru"
"На Миндальной 14","Готель / Гостиниця","Україна","","poliakova_78@mail.ru"
"Пашуня","Готель / Гостиниця","Україна","",""
"Соколиное гнездо","Готель / Гостиниця","Україна","",""
"Частный двор ""Орхидея""","Готель / Гостиниця","Україна","",""
"На Парковая 8","Готель / Гостиниця","Україна","",""
"В гостях у Галины","Готель / Гостиниця","Україна","","gohremenko@yandex.ru"
"Вилла Белая Орхидея","Готель / Гостиниця","Україна","","villa_belaya_orhideya@mail.ru"
"Слов'янська","Готель / Гостиниця","Україна","http://hotel-slavyanskiy.lg.ua","hotel_slavyan@ukr.net"
"Таир","Готель / Гостиниця","Україна","",""
"Домино","Готель / Гостиниця","Україна","",""
"Элен","Готель / Гостиниця","Україна","","stiren16@rambler.ru"
"ДиСа","Готель / Гостиниця","Україна","",""
"Виталина","Готель / Гостиниця","Україна","","nastya30@mail.ru"
"У Леси","Готель / Гостиниця","Україна","","lesya.anatoliewna@yandex.ru"
"Розовый рай","Готель / Гостиниця","Україна","","philipenko-sveta@list.ru"
"Итальянский Дворик","Готель / Гостиниця","Україна","","shsvetlana63@mail.ru"
"Rivne Hostel","Готель / Гостиниця","Україна","",""
"Апарт-отель «Гость»","Готель / Гостиниця","Україна","",""
"У Натальи","Готель / Гостиниця","Україна","",""
"У Надежды","Готель / Гостиниця","Україна","","natali.kashirskaya@gmail.com"
"Поруч","Готель / Гостиниця","Україна","",""
"Домик в деревне","Готель / Гостиниця","Україна","","kekmils8@gmail.com"
"Зеленая бухта","Готель / Гостиниця","Україна","",""
"Мелодия моря","Готель / Гостиниця","Україна","","melodiya-morya@mail.ru"
"На Парковой 6В","Готель / Гостиниця","Україна","",""
"На Морской 12","Готель / Гостиниця","Україна","","beloiandrei@yandex.ru"
"На Парковой 8А","Готель / Гостиниця","Україна","",""
"Виноградный дворик","Готель / Гостиниця","Україна","","amalesha@yandex.ru"
"У Жанны","Готель / Гостиниця","Україна","",""
"На Фруктовой 13","Готель / Гостиниця","Україна","",""
"На Садовой 7а","Готель / Гостиниця","Україна","","olga.cafronova@mail.ru"
"На Генеральской 4","Готель / Гостиниця","Україна","",""
"Іванчо Бірток","Готель / Гостиниця","Україна","",""
"Скіфський вал","Готель / Гостиниця","Україна","",""
"Бабусині витребеньки","Готель / Гостиниця","Україна","",""
"Тріал","Готель / Гостиниця","Україна","",""
"Ясмин","Готель / Гостиниця","Україна","",""
"Відпочинковий комплекс «Гердан»","Готель / Гостиниця","Україна","https://gerdan.if.ua/",""
"Котедж «Світлана»","Готель / Гостиниця","Україна","",""
"Хоум","Готель / Гостиниця","Україна","",""
"Профілакторій","Готель / Гостиниця","Україна","",""
"МРЦ ""Південний буг"" МВС України","Готель / Гостиниця","Україна","",""
"Оздоровчий комплекс ""Поділля""","Готель / Гостиниця","Україна","",""
"Приватні котеджі «Магурка»","Готель / Гостиниця","Україна","","magurka@verhovyna.life"
"У Леопольдовича","Готель / Гостиниця","Україна","",""
"Арден палац","Готель / Гостиниця","Україна","",""
"Тридцатка","Готель / Гостиниця","Україна","",""
"Дім микуличин","Готель / Гостиниця","Україна","",""
"Оазис надежды","Готель / Гостиниця","Україна","","oasisnadejda@gmail.com"
"На Виноградной 36","Готель / Гостиниця","Україна","",""
"На Виноградной 35В","Готель / Гостиниця","Україна","",""
"Миндальная 2","Готель / Гостиниця","Україна","","domans76@gmail.com"
"На Миндальной","Готель / Гостиниця","Україна","",""
"Настин Дворик","Готель / Гостиниця","Україна","",""
"Вилла Анюта","Готель / Гостиниця","Україна","","anna5101977@mail.ru"
"Золотой Дракон","Готель / Гостиниця","Україна","",""
"У Марины","Готель / Гостиниця","Україна","","anatoliyostapenko@yandex.ru"
"На Подгорной 28","Готель / Гостиниця","Україна","","lolylap@mail.ru"
"На Виноградной 21","Готель / Гостиниця","Україна","","skatelova80@mail.ru"
"Jedrykowa Sadyba","Готель / Гостиниця","Україна","http://www.gorgany.org","jedrykowasadyba@wp.pl"
"Лучший отдых","Готель / Гостиниця","Україна","",""
"На Морской 1","Готель / Гостиниця","Україна","","akopovaanna644@qmail.com"
"На Рамазанова","Готель / Гостиниця","Україна","",""
"Пальмы","Готель / Гостиниця","Україна","",""
"Мотель Берегиня","Готель / Гостиниця","Україна","",""
"база отдыха Морская","Готель / Гостиниця","Україна","",""
"Частная гостиница ""Свидание с морем""","Готель / Гостиниця","Україна","",""
"Leo City","Готель / Гостиниця","Україна","",""
"Apple","Готель / Гостиниця","Україна","",""
"Пелагея","Готель / Гостиниця","Україна","",""
"Урбан","Готель / Гостиниця","Україна","",""
"Зруб","Готель / Гостиниця","Україна","",""
"Шампань","Готель / Гостиниця","Україна","",""
"Шале Джур-Джур","Готель / Гостиниця","Україна","",""
"База відпочинку ""Світлана""","Готель / Гостиниця","Україна","",""
"Море Удачи","Готель / Гостиниця","Україна","","info@more-udachi.ru"
"У Зайца","Готель / Гостиниця","Україна","",""
"На Заречной 13","Готель / Гостиниця","Україна","",""
"Enjoy Hostel Kyiv","Готель / Гостиниця","Україна","",""
"Коттеджи на Заоблачной","Готель / Гостиниця","Україна","",""
"Градний узвіз","Готель / Гостиниця","Україна","",""
"На Молодежной 37","Готель / Гостиниця","Україна","","mihail6603@mail.ru"
"Италия","Готель / Гостиниця","Україна","",""
"Белый аист","Готель / Гостиниця","Україна","",""
"Мераба","Готель / Гостиниця","Україна","",""
"Ялыбой","Готель / Гостиниця","Україна","",""
"Байбуган","Готель / Гостиниця","Україна","","luiza1965@rambler.ru"
"Уютный дворик","Готель / Гостиниця","Україна","",""
"Солнце","Готель / Гостиниця","Україна","",""
"Сантель","Готель / Гостиниця","Україна","",""
"Золотой берег","Готель / Гостиниця","Україна","",""
"Усадьба Белый Тополь","Готель / Гостиниця","Україна","",""
"У Лейлы","Готель / Гостиниця","Україна","","ikaevaleyla@gmail.com"
"Киор","Готель / Гостиниця","Україна","","ninaroik@mail.ru"
"Вилла Лучистая","Готель / Гостиниця","Україна","",""
"Мармарис","Готель / Гостиниця","Україна","http://www.villa-marmaris.com/","villa_marmaris@mail.ru; yalta.morskoyspusk@mail.ru"
"Домик со слоном","Готель / Гостиниця","Україна","","anna5101977@mail.ru"
"Эльвира","Готель / Гостиниця","Україна","","m-mustafa@yandex.ua"
"У Альбины","Готель / Гостиниця","Україна","",""
"Be Happy","Готель / Гостиниця","Україна","",""
"Магеллан","Готель / Гостиниця","Україна","","magnata16@mail.ru"
"Три Капитана","Готель / Гостиниця","Україна","","olegpoltav094@gmail.com"
"Солхат","Готель / Гостиниця","Україна","",""
"ТиС","Готель / Гостиниця","Україна","","viktoriacrimea64@mail.ru"
"Усадьба Магнолия","Готель / Гостиниця","Україна","",""
"Зеленый дворик","Готель / Гостиниця","Україна","","zeleniydvorik@gmail.com"
"Царство зелёной прохлады","Готель / Гостиниця","Україна","","manzhosov1958@mail.ru"
"Аполлинария","Готель / Гостиниця","Україна","","aksanamixx@mail.ru"
"У Валеры","Готель / Гостиниця","Україна","","vagalar@mail.ru"
"Ловец","Готель / Гостиниця","Україна","","lovets2014@gmail.com"
"У Семена","Готель / Гостиниця","Україна","","levin_semen@list.ru"
"Вилла Луиза","Готель / Гостиниця","Україна","","luiza.crimea.villa@gmail.com"
"У моря","Готель / Гостиниця","Україна","",""
"Эллинг № 8","Готель / Гостиниця","Україна","",""
"Амакс","Готель / Гостиниця","Україна","",""
"Морской Берег","Готель / Гостиниця","Україна","",""
"Орхидея","Готель / Гостиниця","Україна","","irina.rybache@rambler.ru"
"Усадьба Лукоморье","Готель / Гостиниця","Україна","",""
"У Любаши","Готель / Гостиниця","Україна","","lubashazhukova@mail.ru"
"777","Готель / Гостиниця","Україна","",""
"Викторина","Готель / Гостиниця","Україна","","gkulchiczkij@mail.ru"
"Тихая долина","Готель / Гостиниця","Україна","https://rest-day.com/rybache/gostevye-doma/gostevoj-dom-tihaya-dolina-v-rybachem-212",""
"Аят","Готель / Гостиниця","Україна","",""
"Мини-Отель Оливия","Готель / Гостиниця","Україна","",""
"Усадьба Элиана","Готель / Гостиниця","Україна","",""
"Аркобалено","Готель / Гостиниця","Україна","","ta-nuska@mail.ru"
"Крымская Магнолия","Готель / Гостиниця","Україна","",""
"Кара Дениз","Готель / Гостиниця","Україна","",""
"У Генерала","Готель / Гостиниця","Україна","",""
"У Тети Сони","Готель / Гостиниця","Україна","",""
"Крымское Подворье","Готель / Гостиниця","Україна","",""
"Дача Рахманинов","Готель / Гостиниця","Україна","","sales@rachmaninoff-yalta.ru"
"Під Долинами","Готель / Гостиниця","Україна","",""
"СПА-отель Орион","Готель / Гостиниця","Україна","","orion-tur2k@mail.ru"
"Вилла Дали","Готель / Гостиниця","Україна","",""
"Ника","Готель / Гостиниця","Україна","","innabvv1@mail.ru"
"Садиба ""Коло друзів""","Готель / Гостиниця","Україна","",""
"Гостиничный комплекс ""Аквапарк""","Готель / Гостиниця","Україна","",""
"Жемчужинка","Готель / Гостиниця","Україна","","p_nataliya_s@mail.ru"
"У Сан Саныча","Готель / Гостиниця","Україна","",""
"Лучистая 8б","Готель / Гостиниця","Україна","",""
"У Джеммы","Готель / Гостиниця","Україна","",""
"Ольга","Готель / Гостиниця","Україна","","solnishko1269@gmail.com"
"Эллинг 46 ""Лето""","Готель / Гостиниця","Україна","",""
"Эллинг ""Ноги в море""","Готель / Гостиниця","Україна","","vagalar@mail.ru"
"Саид","Готель / Гостиниця","Україна","",""
"Magic","Готель / Гостиниця","Україна","","book@crimeabest.ru"
"Алустон","Готель / Гостиниця","Україна","",""
"Тихий Двор","Готель / Гостиниця","Україна","",""
"У Александра","Готель / Гостиниця","Україна","","alex_priora06@mail.ru"
"У Галины","Готель / Гостиниця","Україна","",""
"Prosperita","Готель / Гостиниця","Україна","",""
"База отдыха ""Фазенда""","Готель / Гостиниця","Україна","","boryakinaekaterina@yandex.ru"
"Гостинний двір ""Андріанна""","Готель / Гостиниця","Україна","",""
"ДонБас","Готель / Гостиниця","Україна","",""
"Приют","Готель / Гостиниця","Україна","",""
"Замок Алустон","Готель / Гостиниця","Україна","","serg.rad75@gmail.com"
"Welcome","Готель / Гостиниця","Україна","","ludmila_shubina63@mail.ru"
"Дом в Солнечногорском","Готель / Гостиниця","Україна","","olesyablack@list.ru"
"13 Ершей","Готель / Гостиниця","Україна","","rest@13ershey.crimea.com"
"У Черного моря","Готель / Гостиниця","Україна","",""
"Дворик у моря","Готель / Гостиниця","Україна","","diecity@mail.ru"
"На берегу","Готель / Гостиниця","Україна","",""
"У Валентина","Готель / Гостиниця","Україна","","valentin.stotskij@yandex.ru"
"Station Hostel","Готель / Гостиниця","Україна","",""
"Вілла ""Лелеч""","Готель / Гостиниця","Україна","",""
"Дует","Готель / Гостиниця","Україна","",""
"Міні-готель ""Ністрy""","Готель / Гостиниця","Україна","",""
"У Гелени","Готель / Гостиниця","Україна","",""
"Білі Горвати","Готель / Гостиниця","Україна","",""
"Мустанг","Готель / Гостиниця","Україна","",""
"Стефані","Готель / Гостиниця","Україна","",""
"Загадка Карпат","Готель / Гостиниця","Україна","",""
"Колиба ""Сузір'я Карпат""","Готель / Гостиниця","Україна","",""
"Тайстрина","Готель / Гостиниця","Україна","",""
"Дана","Готель / Гостиниця","Україна","",""
"Алый закат","Готель / Гостиниця","Україна","",""
"Міні-готель ""Ліснови""","Готель / Гостиниця","Україна","",""
"Лора","Готель / Гостиниця","Україна","",""
"Гостинний двір ""Тетяна""","Готель / Гостиниця","Україна","",""
"Casa Mare","Готель / Гостиниця","Україна","","angelafriptuleac66@mail.ru"
"Частное домовладение на Табачной","Готель / Гостиниця","Україна","","serg.rad75@gmail.com"
"У Нины Ивановны","Готель / Гостиниця","Україна","",""
"База отдыха ""Солнечное""","Готель / Гостиниця","Україна","","sss34611@gmail.com"
"Роза Пикуба","Готель / Гостиниця","Україна","","elvira_kerimova@mail.ua"
"Морской бриз","Готель / Гостиниця","Україна","",""
"Анетта","Готель / Гостиниця","Україна","",""
"Солнечногорск","Готель / Гостиниця","Україна","","kadyrova.elvira63@mail.ru"
"Эмилия","Готель / Гостиниця","Україна","","emiliya.solnechnogorsk@mail.ru"
"На Молодежной","Готель / Гостиниця","Україна","","a.seitova1976@mail.ru"
"Борисоль","Готель / Гостиниця","Україна","","borisol.crimea@yandex.ru"
"Венера","Готель / Гостиниця","Україна","","fghfgh127@mail.ru"
"Леннара","Готель / Гостиниця","Україна","","zeinebakimova@mail.ru"
"Велиза","Готель / Гостиниця","Україна","","gogol25006@gmail.com"
"Эвель","Готель / Гостиниця","Україна","","mavileshka@gmail.com"
"Кедр","Готель / Гостиниця","Україна","","kedr.sea@gmail.com"
"Тихая дача","Готель / Гостиниця","Україна","","semilin-tur@yandex.ru"
"Виталина 2","Готель / Гостиниця","Україна","","vitalina.hotel@bk.ru"
"Галька","Готель / Гостиниця","Україна","",""
"STOP TIME","Готель / Гостиниця","Україна","",""
"Байбуган-Максималист","Готель / Гостиниця","Україна","","luiza1965@rambler.ru"
"У Дениса","Готель / Гостиниця","Україна","","eva068875@yandex.ru"
"18 регион","Готель / Гостиниця","Україна","","ulinikol@rambler.ru"
"Дворик на Вишневой","Готель / Гостиниця","Україна","","snezhana.semenchenko@mail.ru"
"У Сабира","Готель / Гостиниця","Україна","","sobir740203@ramler.ru"
"Прибрежный","Готель / Гостиниця","Україна","",""
"Летний отдых у Елены","Готель / Гостиниця","Україна","","alenka_82_82@bk.ru"
"Иль Маре","Готель / Гостиниця","Україна","","morskaya19hotel@gmail.com"
"У девчат","Готель / Гостиниця","Україна","","julia_berry@mail.ru"
"Сан Сити","Готель / Гостиниця","Україна","",""
"У Ларисы","Готель / Гостиниця","Україна","",""
"Дом Петра","Готель / Гостиниця","Україна","","10piter61@rambler.ru"
"Изумрудный","Готель / Гостиниця","Україна","",""
"ЭльМира","Готель / Гостиниця","Україна","",""
"Асторія","Готель / Гостиниця","Україна","",""
"Гала","Готель / Гостиниця","Україна","",""
"Солнечный Бриз","Готель / Гостиниця","Україна","","krym.otdyx@gmail.com"
"Chalet Residence Hotel","Готель / Гостиниця","Україна","https://shale-r.com","shalet.residence@gmail.com"
"На Морской 2","Готель / Гостиниця","Україна","",""
"Вишнёвый рай","Готель / Гостиниця","Україна","",""
"Как дома","Готель / Гостиниця","Україна","","natalia.udina@mail.ru"
"Бамбук","Готель / Гостиниця","Україна","",""
"У Юрия","Готель / Гостиниця","Україна","",""
"Людмила","Готель / Гостиниця","Україна","",""
"Император","Готель / Гостиниця","Україна","",""
"Вишневая 11","Готель / Гостиниця","Україна","","anna.cherkashchenko@mail.ru"
"Светлица","Готель / Гостиниця","Україна","",""
"Коттеджи над морем","Готель / Гостиниця","Україна","",""
"На Виноградной","Готель / Гостиниця","Україна","","viktoria.ribachie@ya.ru"
"Островок","Готель / Гостиниця","Україна","",""
"У Ани","Готель / Гостиниця","Україна","",""
"Семейная Дача ""Рыбачье""","Готель / Гостиниця","Україна","",""
"У Ирины","Готель / Гостиниця","Україна","",""
"Водолей","Готель / Гостиниця","Україна","","ekimova1985d@yandex.ru"
"Коттедж 22","Готель / Гостиниця","Україна","",""
"Hygge","Готель / Гостиниця","Україна","",""
"Kayzervald","Готель / Гостиниця","Україна","",""
"Сонет","Готель / Гостиниця","Україна","",""
"Ноги в Море","Готель / Гостиниця","Україна","",""
"Готель Raziotel","Готель / Гостиниця","Україна","",""
"Морская 20","Готель / Гостиниця","Україна","",""
"Загородный дом на Школьной","Готель / Гостиниця","Україна","",""
"На Лучистой 7","Готель / Гостиниця","Україна","","eka2661@rambler.ru"
"Затишна квартира","Готель / Гостиниця","Україна","","flatcomfy@gmail.com"
"Джелип","Готель / Гостиниця","Морское","",""
"Аркада","Готель / Гостиниця","Україна","",""
"Тюзлер","Готель / Гостиниця","Україна","",""
"Уютная","Готель / Гостиниця","Україна","","anndemax@rambler.ru"
"Дача в Солнечногорском","Готель / Гостиниця","Україна","",""
"Белый лебедь","Готель / Гостиниця","Україна","",""
"Казанский дворик","Готель / Гостиниця","Україна","",""
"Кристина","Готель / Гостиниця","Україна","",""
"Лесной","Готель / Гостиниця","Україна","",""
"Марьяж","Готель / Гостиниця","Україна","",""
"У Степана","Готель / Гостиниця","Україна","",""
"На Шоссейной 40","Готель / Гостиниця","Україна","",""
"На Шоссейной 38А","Готель / Гостиниця","Україна","",""
"Родина","Готель / Гостиниця","Україна","",""
"Варшавський","Готель / Гостиниця","Україна","",""
"Гранатовое поместье","Готель / Гостиниця","Україна","",""
"База відпочинку Тетерів у Житомирі","Готель / Гостиниця","Україна","https://teteriv-zt.com.ua/",""
"Усадьба Русь","Готель / Гостиниця","Україна","",""
"Зелёный луч","Готель / Гостиниця","Україна","",""
"Мини-пансионат Можжевеловый рай","Готель / Гостиниця","Україна","",""
"Пансионат Волга","Готель / Гостиниця","Україна","",""
"Черномор","Готель / Гостиниця","Україна","",""
"Ricco","Готель / Гостиниця","Україна","",""
"Пансионат ""КАСПИЙ""","Готель / Гостиниця","Україна","",""
"Эко-Village","Готель / Гостиниця","Україна","https://eko-village.com/","eco-village@bk.ru"
"Багира","Готель / Гостиниця","Україна","","info@kanaka-bagira.ru"
"База отдыха Сейяра","Готель / Гостиниця","Україна","",""
"Атлантида","Готель / Гостиниця","Україна","",""
"Готель ""Villa Billa""","Готель / Гостиниця","Україна","",""
"Vita","Готель / Гостиниця","Україна","",""
"Коттедж № 17","Готель / Гостиниця","Україна","","privetnoe.in@gmail.com"
"Новая крепость","Готель / Гостиниця","Україна","","nk-otel@mail.ru"
"Гамачок у моря","Готель / Гостиниця","Україна","","gamachok-hotel@mail.ru"
"Катран","Готель / Гостиниця","Україна","",""
"Эллинг 46","Готель / Гостиниця","Україна","","pershynai@mail.ru"
"Приветный","Готель / Гостиниця","Україна","",""
"Дания","Готель / Гостиниця","Україна","https://www.hoteldania.org/",""
"Майами","Готель / Гостиниця","Україна","",""
"Горная лаванда","Готель / Гостиниця","Україна","",""
"У большого камня","Готель / Гостиниця","Україна","",""
"У Ванды","Готель / Гостиниця","Україна","",""
"Під'їзд 2","Готель / Гостиниця","Україна","",""
"5000","Готель / Гостиниця","Україна","","ale-domanskij@ya.ru"
"Московский","Готель / Гостиниця","Україна","https://отель-московский.рф/","otelmoskovsky@yandex.ru"
"Жемчужина у моря","Готель / Гостиниця","Україна","","al1907l@mail.ru"
"Relax","Готель / Гостиниця","Україна","",""
